"daily.time","daily.summary","daily.icon","daily.sunriseTime","daily.sunsetTime","daily.moonPhase","daily.precipIntensity","daily.precipIntensityMax","daily.precipProbability","daily.temperatureHigh","daily.temperatureHighTime","daily.temperatureLow","daily.temperatureLowTime","daily.apparentTemperatureHigh","daily.apparentTemperatureHighTime","daily.apparentTemperatureLow","daily.apparentTemperatureLowTime","daily.dewPoint","daily.humidity","daily.pressure","daily.windSpeed","daily.windGust","daily.windGustTime","daily.windBearing","daily.cloudCover","daily.uvIndex","daily.uvIndexTime","daily.visibility","daily.temperatureMin","daily.temperatureMinTime","daily.temperatureMax","daily.temperatureMaxTime","daily.apparentTemperatureMin","daily.apparentTemperatureMinTime","daily.apparentTemperatureMax","daily.apparentTemperatureMaxTime","id","location","home.team","latitude","longitude","daily.precipIntensityMaxTime","daily.precipType","daily.precipAccumulation"
2013-05-19,"Partly cloudy throughout the day.","partly-cloudy-day",2013-05-19 05:06:25,2013-05-19 21:13:09,0.3,0,0,0,59.52,1368968400,50.8,1369004400,59.52,1368968400,50.8,1369004400,47.73,0.83,1013.23,2.47,11.68,1368986400,306,0.58,5,1368961200,5.63,46.53,2013-05-19 06:00:00,59.52,2013-05-19 14:00:00,46.53,2013-05-19 06:00:00,59.52,2013-05-19 14:00:00,"1213-01","Liverpool","Liverpool",53.43083333,-2.96083333,,,
2013-05-05,"Partly cloudy throughout the day.","partly-cloudy-day",2013-05-05 05:30:06,2013-05-05 20:49:28,0.85,0,0,0,61.9,1367758800,42.88,1367816400,61.9,1367758800,42.88,1367816400,46.38,0.75,1019.4,4.44,11.53,1367751600,214,0.5,5,1367751600,6.21,46.37,2013-05-05 01:00:00,61.9,2013-05-05 14:00:00,44.69,2013-05-05 01:00:00,61.9,2013-05-05 14:00:00,"1213-02","Liverpool","Liverpool",53.43083333,-2.96083333,,,
2013-04-21,"Mostly cloudy starting in the afternoon, continuing until evening.","partly-cloudy-day",2013-04-21 05:59:01,2013-04-21 20:24:09,0.35,9e-04,0.0135,0.58,50.43,1366567200,40.19,1366606800,50.43,1366567200,40.19,1366606800,38.63,0.76,1019.03,3.63,11.88,1366542000,190,0.36,4,1366538400,6.14,40.07,2013-04-21 06:00:00,50.43,2013-04-21 19:00:00,38.84,2013-04-21 07:00:00,50.43,2013-04-21 19:00:00,"1213-03","Liverpool","Liverpool",53.43083333,-2.96083333,2013-04-21 17:00:00,"rain",
2013-04-07,"Clear throughout the day.","clear-day",2013-04-07 06:31:14,2013-04-07 19:58:41,0.9,0,0,0,50.91,1365343200,35.53,1365397200,50.91,1365343200,30.26,1365400800,28.11,0.64,1019.03,2.22,10.7,1365372000,123,0.08,5,1365336000,5.84,28.7,2013-04-07 07:00:00,50.91,2013-04-07 15:00:00,28.7,2013-04-07 07:00:00,50.91,2013-04-07 15:00:00,"1213-04","Liverpool","Liverpool",53.43083333,-2.96083333,,,
2013-03-10,"Partly cloudy until afternoon.","partly-cloudy-day",2013-03-10 06:39:04,2013-03-10 18:07:48,0.96,0.0017,0.0083,0.69,38.47,1362927600,26.72,1362981600,31.56,1362927600,19.31,1362985200,27.7,0.76,1010.15,7.8,21.48,1362924000,64,0.5,2,1362913200,5.95,29.5,2013-03-10 23:00:00,38.47,2013-03-10 15:00:00,21.63,2013-03-10 23:00:00,33.23,2013-03-10 00:00:00,"1213-05","Liverpool","Liverpool",53.43083333,-2.96083333,2013-03-10 07:00:00,"rain",
2013-02-17,"Clear throughout the day.","clear-day",2013-02-17 07:26:54,2013-02-17 17:27:36,0.24,0,0,0,47.9,1361113200,35.35,1361152800,44.25,1361113200,30.83,1361152800,34.37,0.8,1019.68,4.59,13.83,1361109600,139,0.19,1,1361098800,6.08,34.33,2013-02-17 07:00:00,47.9,2013-02-17 15:00:00,30.77,2013-02-17 07:00:00,44.25,2013-02-17 15:00:00,"1213-06","Liverpool","Liverpool",53.43083333,-2.96083333,,,
2013-02-11,"Mostly cloudy until afternoon.","partly-cloudy-day",2013-02-11 07:39:10,2013-02-11 17:15:44,0.05,0,0,0,38.27,1360591200,32.82,1360656000,33.16,1360598400,31.43,1360630800,30.11,0.8,1001.99,6.28,16.5,1360544400,93,0.46,1,1360576800,6.17,34.19,2013-02-11 07:00:00,38.27,2013-02-11 14:00:00,28.25,2013-02-11 01:00:00,33.16,2013-02-11 16:00:00,"1213-07","Liverpool","Liverpool",53.43083333,-2.96083333,,,
2013-01-19,"Mostly cloudy throughout the day.","partly-cloudy-day",2013-01-19 08:16:09,2013-01-19 16:31:22,0.26,0,0,0,33.83,1358600400,33.06,1358647200,32.64,1358589600,29.53,1358640000,28.94,0.86,1000.67,4.11,12.62,1358557200,79,0.74,1,1358596800,5.21,30.76,2013-01-19 00:00:00,33.83,2013-01-19 13:00:00,23.53,2013-01-19 00:00:00,32.64,2013-01-19 10:00:00,"1213-08","Liverpool","Liverpool",53.43083333,-2.96083333,,,
2013-01-02,"Light rain in the afternoon.","rain",2013-01-02 08:28:28,2013-01-02 16:05:49,0.66,0.0046,0.0453,0.84,50.22,1357153200,49.96,1357167600,50.22,1357153200,48.78,1357167600,45.04,0.94,1020.32,3.15,10.65,1357149600,238,0.61,0,1357084800,5.32,43.64,2013-01-02 09:00:00,50.7,2013-01-02 20:00:00,40.87,2013-01-02 09:00:00,50.7,2013-01-02 20:00:00,"1213-09","Liverpool","Liverpool",53.43083333,-2.96083333,2013-01-02 13:00:00,"rain",
2012-12-22,"Rain until afternoon, starting again in the evening.","rain",2012-12-22 08:27:32,2012-12-22 15:56:22,0.32,0.0206,0.0746,0.9,51.3,1356202800,48.27,1356249600,51.3,1356202800,42.81,1356249600,46.31,0.97,999.47,5.26,13.39,1356166800,144,0.68,0,1356134400,5.08,42,2012-12-22 01:00:00,53.04,2012-12-22 22:00:00,39.18,2012-12-22 01:00:00,53.04,2012-12-22 22:00:00,"1213-10","Liverpool","Liverpool",53.43083333,-2.96083333,2012-12-22 11:00:00,"rain",
2012-12-15,"Partly cloudy until evening.","partly-cloudy-day",2012-12-15 08:23:09,2012-12-15 15:54:04,0.08,8e-04,0.0059,0.45,46.83,1355580000,38.4,1355644800,44.5,1355583600,37.03,1355634000,41.52,0.93,985.4,4.49,12.59,1355529600,195,0.45,0,1355529600,6.21,39.69,2012-12-15 23:00:00,46.83,2012-12-15 14:00:00,37.91,2012-12-15 05:00:00,44.5,2012-12-15 15:00:00,"1213-11","Liverpool","Liverpool",53.43083333,-2.96083333,2012-12-15 00:00:00,"rain",
2012-12-01,"Partly cloudy in the morning.","partly-cloudy-night",2012-12-01 08:06:45,2012-12-01 15:58:24,0.59,0.0013,0.0157,0.66,42.02,1354366800,29.52,1354417200,38.34,1354366800,29.52,1354417200,33.07,0.86,1014.84,2.8,9.62,1354370400,319,0.32,0,1354320000,5.41,30.14,2012-12-01 00:00:00,42.02,2012-12-01 13:00:00,30.14,2012-12-01 00:00:00,38.34,2012-12-01 13:00:00,"1213-12","Liverpool","Liverpool",53.43083333,-2.96083333,2012-12-01 08:00:00,"rain",
2012-11-17,"Partly cloudy until afternoon.","partly-cloudy-day",2012-11-17 07:43:19,2012-11-17 16:13:23,0.13,0.0073,0.0524,0.85,48.28,1353157200,36.75,1353222000,46,1353146400,36.44,1353207600,41.62,0.9,1007.17,2.48,10.21,1353157200,264,0.47,1,1353150000,5.8,39.52,2012-11-17 23:00:00,48.28,2012-11-17 13:00:00,37.27,2012-11-17 23:00:00,46,2012-11-17 10:00:00,"1213-13","Liverpool","Liverpool",53.43083333,-2.96083333,2012-11-17 00:00:00,"rain",
2012-11-04,"Partly cloudy in the afternoon.","partly-cloudy-day",2012-11-04 07:18:46,2012-11-04 16:34:37,0.67,0,0,0,46,1352034000,33.04,1352098800,44.39,1352041200,33.04,1352098800,35.77,0.89,994.58,2.8,7.47,1352034000,113,0.2,1,1352023200,6.05,34.29,2012-11-04 07:00:00,46,2012-11-04 13:00:00,32.09,2012-11-04 04:00:00,44.39,2012-11-04 15:00:00,"1213-14","Liverpool","Liverpool",53.43083333,-2.96083333,,,
2012-10-20,"Partly cloudy until afternoon.","partly-cloudy-day",2012-10-20 07:50:04,2012-10-20 18:05:16,0.18,0,0,0,58.36,1350741600,42.42,1350802800,58.36,1350741600,42.42,1350802800,47.15,0.87,1013.81,1.74,5.36,1350741600,176,0.27,2,1350734400,6.2,46.01,2012-10-20 06:00:00,58.36,2012-10-20 15:00:00,46.01,2012-10-20 06:00:00,58.36,2012-10-20 15:00:00,"1213-15","Liverpool","Liverpool",53.43083333,-2.96083333,,,
2012-10-07,"Overcast in the morning.","cloudy",2012-10-07 07:26:10,2012-10-07 18:35:08,0.73,0,0,0,55.37,1349618400,44.02,1349658000,55.37,1349618400,44.02,1349658000,43.36,0.86,1021.39,0.23,4.15,1349614800,322,0.29,2,1349604000,5.75,41.19,2012-10-07 07:00:00,55.37,2012-10-07 15:00:00,41.19,2012-10-07 07:00:00,55.37,2012-10-07 15:00:00,"1213-16","Liverpool","Liverpool",53.43083333,-2.96083333,,,
2012-09-23,"Light rain overnight.","rain",2012-09-23 07:01:29,2012-09-23 19:09:10,0.27,0.0035,0.0332,0.82,55.32,1348408800,47.3,1348434000,55.32,1348408800,44.12,1348441200,43.07,0.84,1011.6,4.17,14.39,1348401600,100,0.38,3,1348398000,6.13,41.95,2012-09-23 04:00:00,55.32,2012-09-23 15:00:00,40.73,2012-09-23 05:00:00,55.32,2012-09-23 15:00:00,"1213-17","Liverpool","Liverpool",53.43083333,-2.96083333,2012-09-23 23:00:00,"rain",
