"daily.time","daily.summary","daily.icon","daily.sunriseTime","daily.sunsetTime","daily.moonPhase","daily.precipIntensity","daily.precipIntensityMax","daily.precipIntensityMaxTime","daily.precipProbability","daily.temperatureHigh","daily.temperatureHighTime","daily.temperatureLow","daily.temperatureLowTime","daily.apparentTemperatureHigh","daily.apparentTemperatureHighTime","daily.apparentTemperatureLow","daily.apparentTemperatureLowTime","daily.dewPoint","daily.humidity","daily.pressure","daily.windSpeed","daily.windGust","daily.windGustTime","daily.windBearing","daily.cloudCover","daily.uvIndex","daily.uvIndexTime","daily.visibility","daily.temperatureMin","daily.temperatureMinTime","daily.temperatureMax","daily.temperatureMaxTime","daily.apparentTemperatureMin","daily.apparentTemperatureMinTime","daily.apparentTemperatureMax","daily.apparentTemperatureMaxTime","id","location","home.team","latitude","longitude","daily.precipType","daily.precipAccumulation"
2018-05-13,"Partly cloudy in the morning.","partly-cloudy-night",2018-05-13 05:16:09,2018-05-13 21:03:00,0.92,0,5e-04,2018-05-13 03:00:00,0,61.07,1526223600,39.84,1526270400,61.07,1526223600,39.84,1526270400,43.21,0.7,1015.51,3.85,10.44,1526212800,300,0.25,7,1526212800,6.22,45.58,2018-05-13 06:00:00,61.07,2018-05-13 16:00:00,45.58,2018-05-13 06:00:00,61.07,2018-05-13 16:00:00,"1718-01","Liverpool","Liverpool",53.43083333,-2.96083333,,
2018-04-28,"Partly cloudy throughout the day.","partly-cloudy-day",2018-04-28 05:44:29,2018-04-28 20:36:31,0.45,0.0012,0.0163,2018-04-28 20:00:00,0.38,52.96,1524927600,37.9,1524978000,52.96,1524927600,37.9,1524978000,38.92,0.78,1012.27,1.7,8.72,1524920400,30,0.51,5,1524920400,6.22,38.95,2018-04-28 05:00:00,52.96,2018-04-28 16:00:00,38.95,2018-04-28 05:00:00,52.96,2018-04-28 16:00:00,"1718-02","Liverpool","Liverpool",53.43083333,-2.96083333,"rain",
2018-04-14,"Mostly cloudy until afternoon.","partly-cloudy-day",2018-04-14 06:15:18,2018-04-14 20:11:01,0.94,0,0,,0,62.19,1523721600,47.88,1523764800,62.19,1523721600,45.91,1523764800,44.17,0.75,1014.51,3.02,9.26,1523725200,154,0.61,4,1523703600,5.57,46.22,2018-04-14 00:00:00,62.19,2018-04-14 17:00:00,45.32,2018-04-14 03:00:00,62.19,2018-04-14 17:00:00,"1718-03","Liverpool","Liverpool",53.43083333,-2.96083333,,
2018-03-17,"Mostly cloudy throughout the day.","partly-cloudy-day",2018-03-17 06:22:38,2018-03-17 18:20:18,0.01,0,2e-04,2018-03-17 12:00:00,0,35.33,1521288000,29.16,1521345600,26.79,1521288000,18.14,1521349200,26.5,0.74,1012.39,10.85,24.03,1521298800,70,0.67,3,1521288000,6.09,29.51,2018-03-17 23:00:00,39.27,2018-03-17 00:00:00,19.94,2018-03-17 20:00:00,33.21,2018-03-17 00:00:00,"1718-04","Liverpool","Liverpool",53.43083333,-2.96083333,,
2018-03-03,"Mostly cloudy throughout the day.","partly-cloudy-day",2018-03-03 06:56:08,2018-03-03 17:54:16,0.56,0,0,,0,35.65,1520089200,32.8,1520114400,29.84,1520089200,26.5,1520110800,26.95,0.79,994.36,7.52,17.71,1520035200,86,0.82,2,1520074800,4.39,30.55,2018-03-03 06:00:00,35.65,2018-03-03 15:00:00,22.61,2018-03-03 05:00:00,29.84,2018-03-03 15:00:00,"1718-05","Liverpool","Liverpool",53.43083333,-2.96083333,,
2018-02-24,"Mostly cloudy in the morning.","partly-cloudy-day",2018-02-24 07:12:08,2018-02-24 17:40:51,0.3,0,0,,0,43.25,1519484400,30.35,1519542000,38.37,1519484400,26.64,1519545600,25.81,0.66,1023.39,6.49,13.82,1519466400,113,0.4,2,1519473600,6.21,32.43,2018-02-24 08:00:00,43.25,2018-02-24 15:00:00,26.59,2018-02-24 01:00:00,38.37,2018-02-24 15:00:00,"1718-06","Liverpool","Liverpool",53.43083333,-2.96083333,,
2018-02-04,"Mostly cloudy starting in the afternoon.","partly-cloudy-night",2018-02-04 07:52:40,2018-02-04 17:01:24,0.64,0,0,,0,41.51,1517752800,33.92,1517781600,39.26,1517763600,32.42,1517778000,32.67,0.86,1028.18,2.76,9.14,1517745600,18,0.5,1,1517742000,6.22,31.85,2018-02-04 08:00:00,41.51,2018-02-04 14:00:00,31.85,2018-02-04 08:00:00,39.26,2018-02-04 17:00:00,"1718-07","Liverpool","Liverpool",53.43083333,-2.96083333,,
2018-01-14,"Mostly cloudy throughout the day.","partly-cloudy-day",2018-01-14 08:21:32,2018-01-14 16:22:27,0.92,6e-04,0.008,2018-01-14 23:00:00,0.96,41.5,1515938400,39.11,1515960000,36.13,1515938400,33.19,1515960000,35.49,0.84,1014.84,6.97,15.99,1515967200,153,0.74,0,1515888000,5.53,38.48,2018-01-14 06:00:00,41.5,2018-01-14 14:00:00,33.19,2018-01-14 20:00:00,37.44,2018-01-14 00:00:00,"1718-08","Liverpool","Liverpool",53.43083333,-2.96083333,"rain",
2017-12-30,"Light rain overnight.","rain",2017-12-30 08:28:56,2017-12-30 16:02:22,0.4,0.0075,0.092,2017-12-30 02:00:00,1,50.49,1514638800,44.95,1514678400,50.49,1514638800,40.48,1514678400,40.37,0.83,991.49,4.65,17.6,1514638800,231,0.54,0,1514592000,5.75,35.83,2017-12-30 03:00:00,50.49,2017-12-30 13:00:00,30.73,2017-12-30 03:00:00,50.49,2017-12-30 13:00:00,"1718-09","Liverpool","Liverpool",53.43083333,-2.96083333,"rain",
2017-12-26,"Partly cloudy until evening.","partly-cloudy-day",2017-12-26 08:28:40,2017-12-26 15:58:51,0.26,0.0015,0.021,2017-12-26 00:00:00,1,43.26,1514296800,36.46,1514343600,43.26,1514296800,29.44,1514343600,35.82,0.86,991.26,2.75,13.01,1514268000,259,0.49,0,1514246400,5.92,37.35,2017-12-26 18:00:00,43.26,2017-12-26 14:00:00,32.8,2017-12-26 06:00:00,43.26,2017-12-26 14:00:00,"1718-10","Liverpool","Liverpool",53.43083333,-2.96083333,"rain",
2017-12-13,"Light rain in the afternoon.","rain",2017-12-13 08:21:11,2017-12-13 15:53:57,0.85,0.0054,0.046,2017-12-13 13:00:00,1,43.26,1513162800,37.69,1513195200,38.76,1513166400,31.72,1513195200,37.46,0.89,992.53,5.78,17.14,1513198800,246,0.62,0,1513123200,6.12,37.69,2017-12-13 20:00:00,43.26,2017-12-13 11:00:00,31.72,2017-12-13 20:00:00,40.32,2017-12-13 05:00:00,"1718-11","Liverpool","Liverpool",53.43083333,-2.96083333,"rain",
2017-12-10,"Mostly cloudy throughout the day.","partly-cloudy-day",2017-12-10 08:18:07,2017-12-10 15:54:18,0.75,1e-04,0.0012,2017-12-10 14:00:00,0.29,33.88,1512910800,26.49,1512979200,32.92,1512925200,24.02,1512975600,30.05,0.9,984.68,2.6,8.16,1512896400,56,0.62,0,1512864000,5.47,31.59,2017-12-10 03:00:00,33.88,2017-12-10 13:00:00,26.5,2017-12-10 09:00:00,33.81,2017-12-10 00:00:00,"1718-12","Liverpool","Liverpool",53.43083333,-2.96083333,"snow",0.02
2017-11-25,"Light rain in the morning and overnight.","rain",2017-11-25 07:56:57,2017-11-25 16:03:53,0.22,0.0114,0.0386,2017-11-25 10:00:00,0.97,42.24,1511622000,39.01,1511647200,37.54,1511622000,34.69,1511654400,34.86,0.84,1014.79,5.6,14.33,1511600400,284,0.61,1,1511611200,6.13,36.54,2017-11-25 02:00:00,42.24,2017-11-25 15:00:00,33.49,2017-11-25 06:00:00,37.54,2017-11-25 15:00:00,"1718-13","Liverpool","Liverpool",53.43083333,-2.96083333,"rain",
2017-11-18,"Mostly cloudy throughout the day.","partly-cloudy-day",2017-11-18 07:44:44,2017-11-18 16:12:18,0.01,0,0,,0,49.41,1511006400,38.96,1511078400,46.8,1511002800,38.96,1511078400,40.37,0.79,1021.7,5.39,11.7,1511006400,285,0.64,1,1511002800,6.22,44.31,2017-11-18 00:00:00,49.41,2017-11-18 12:00:00,41.46,2017-11-18 00:00:00,46.8,2017-11-18 11:00:00,"1718-14","Liverpool","Liverpool",53.43083333,-2.96083333,,
2017-10-28,"Mostly cloudy throughout the day.","partly-cloudy-day",2017-10-28 08:04:50,2017-10-28 17:48:44,0.27,0,5e-04,2017-10-28 17:00:00,0,56.64,1509192000,51.29,1509264000,56.64,1509192000,51.29,1509264000,50.4,0.89,1025.77,8.04,19.49,1509220800,273,0.76,1,1509184800,6.14,45.39,2017-10-28 02:00:00,56.96,2017-10-28 23:00:00,43.51,2017-10-28 02:00:00,56.96,2017-10-28 23:00:00,"1718-15","Liverpool","Liverpool",53.43083333,-2.96083333,,
2017-10-14,"Mostly cloudy until afternoon.","partly-cloudy-day",2017-10-14 07:38:31,2017-10-14 18:19:15,0.82,0,0,,0,66.48,1507986000,54.6,1508040000,66.48,1507986000,54.6,1508040000,57.58,0.83,1018.8,6.45,11.8,1507975200,205,0.56,2,1507978800,6.22,58.22,2017-10-14 23:00:00,66.48,2017-10-14 14:00:00,58.22,2017-10-14 23:00:00,66.48,2017-10-14 14:00:00,"1718-16","Liverpool","Liverpool",53.43083333,-2.96083333,,
2017-09-16,"Partly cloudy until evening.","partly-cloudy-day",2017-09-16 06:49:01,2017-09-16 19:26:57,0.87,4e-04,0.0034,2017-09-16 04:00:00,0.47,58.54,1505574000,45.33,1505606400,58.54,1505574000,45.33,1505606400,46.9,0.81,1013.32,2.99,9.51,1505574000,336,0.42,3,1505559600,6.22,46.54,2017-09-16 23:00:00,58.54,2017-09-16 16:00:00,46.54,2017-09-16 23:00:00,58.54,2017-09-16 16:00:00,"1718-17","Liverpool","Liverpool",53.43083333,-2.96083333,"rain",
2017-08-27,"Partly cloudy until afternoon.","partly-cloudy-day",2017-08-27 06:14:28,2017-08-27 20:15:08,0.19,0,0,,0,72.97,1503846000,57.69,1503896400,72.97,1503846000,57.69,1503896400,54.21,0.79,1018.2,1.29,7.93,1503846000,177,0.26,5,1503835200,6.22,50.78,2017-08-27 05:00:00,72.97,2017-08-27 16:00:00,50.78,2017-08-27 05:00:00,72.97,2017-08-27 16:00:00,"1718-18","Liverpool","Liverpool",53.43083333,-2.96083333,,
2017-08-19,"Partly cloudy throughout the day.","partly-cloudy-day",2017-08-19 06:00:31,2017-08-19 20:33:13,0.92,0.0025,0.0246,2017-08-19 02:00:00,0.96,61.65,1503154800,53.95,1503205200,61.65,1503154800,53.95,1503205200,51.27,0.79,1014.24,7.87,14.86,1503136800,269,0.6,5,1503144000,6.15,53.92,2017-08-19 00:00:00,61.65,2017-08-19 16:00:00,53.92,2017-08-19 00:00:00,61.65,2017-08-19 16:00:00,"1718-19","Liverpool","Liverpool",53.43083333,-2.96083333,"rain",
2018-05-05,"Clear throughout the day.","clear-day",2018-05-05 05:29:01,2018-05-05 20:44:18,0.67,0,0,,0,72.84,1525536000,47.9,1525582800,72.84,1525536000,47.9,1525582800,50.68,0.75,1024.91,1.39,8.41,1525521600,197,0.13,7,1525521600,6.08,46.13,2018-05-05 06:00:00,72.84,2018-05-05 17:00:00,46.13,2018-05-05 06:00:00,72.84,2018-05-05 17:00:00,"1718-20","Stoke-on-Trent","Stoke",52.98833333,-2.17555556,,
2018-04-22,"Mostly cloudy throughout the day.","partly-cloudy-day",2018-04-22 05:55:20,2018-04-22 20:21:16,0.23,5e-04,0.0056,2018-04-22 12:00:00,0.63,59.95,1524384000,48.08,1524459600,59.95,1524384000,46.33,1524466800,49.23,0.75,1008.74,3.4,11.94,1524409200,222,0.34,5,1524394800,6.04,49.13,2018-04-22 23:00:00,61.51,2018-04-22 00:00:00,47.97,2018-04-22 23:00:00,61.51,2018-04-22 00:00:00,"1718-21","Stoke-on-Trent","Stoke",52.98833333,-2.17555556,"rain",
2018-04-07,"Light rain until afternoon.","rain",2018-04-07 06:29:16,2018-04-07 19:54:30,0.73,0.003,0.0359,2018-04-07 11:00:00,0.89,52.85,1523109600,39.75,1523167200,52.85,1523109600,39.75,1523167200,45.02,0.87,1005.33,0.63,6.63,1523116800,305,0.62,4,1523098800,5.74,45.1,2018-04-07 07:00:00,52.85,2018-04-07 15:00:00,45.1,2018-04-07 07:00:00,52.85,2018-04-07 15:00:00,"1718-22","Stoke-on-Trent","Stoke",52.98833333,-2.17555556,"rain",
2018-03-17,"Mostly cloudy throughout the day.","partly-cloudy-day",2018-03-17 06:19:27,2018-03-17 18:17:12,0.01,0,0,,0,33.7,1521284400,27.41,1521349200,26.31,1521284400,12.51,1521349200,26.96,0.8,1010.85,8.9,19.67,1521288000,64,0.76,3,1521288000,5.41,28.24,2018-03-17 21:00:00,37.94,2018-03-17 00:00:00,19.29,2018-03-17 22:00:00,32.23,2018-03-17 00:00:00,"1718-23","Stoke-on-Trent","Stoke",52.98833333,-2.17555556,,
