"Date","HomeTeam","AwayTeam","FTR","HTHG","HTAG","HTR","HS","AS","HST","AST","HF","AF","HC","AC","HY","AY","HR","AR","Stadium","daily.summary","daily.icon","daily.moonPhase","daily.precipIntensity","daily.precipIntensityMax","daily.precipProbability","daily.precipType","daily.temperatureHigh","daily.temperatureLow","daily.apparentTemperatureHigh","daily.apparentTemperatureLow","daily.dewPoint","daily.humidity","daily.pressure","daily.windSpeed","daily.windGust","daily.windBearing","daily.cloudCover","daily.uvIndex","daily.visibility","daily.temperatureMin","daily.temperatureMax","daily.apparentTemperatureMin","daily.apparentTemperatureMax"
"2009-08-15","Aston Villa","Wigan","A",0,1,"A",11,14,5,7,15,14,4,6,2,2,0,0,"Villa Park","Mostly cloudy until evening.","partly-cloudy-day",0.81,0,0,0,"",73.06,56.77,73.06,56.77,59.4,0.8,1011.46,7.75,28.9,219,0.67,4,6.22,62.29,73.06,62.54,73.06
"2009-08-15","Blackburn","Man City","A",0,1,"A",17,8,9,5,12,9,5,4,2,1,0,0,"Ewood Park","Partly cloudy throughout the day.","partly-cloudy-day",0.81,0.002,0.012,0.77,"rain",68.86,56.32,69,56.32,58.78,0.83,1008.73,8.24,19.91,224,0.47,5,6.04,60.8,68.86,60.8,69
"2009-08-15","Bolton","Sunderland","A",0,1,"A",11,20,3,13,16,10,4,7,2,1,0,0,"University of Bolton Stadium","Partly cloudy throughout the day.","partly-cloudy-day",0.81,0.001,0.0096,0.73,"rain",70.59,55.97,70.71,55.97,59.28,0.83,1009.13,7.43,16.65,224,0.48,5,6.06,61.21,70.59,61.21,70.71
"2009-08-15","Chelsea","Hull","H",1,1,"D",26,7,12,3,13,15,12,4,1,2,0,0,"Stamford Bridge","Mostly cloudy until evening.","partly-cloudy-day",0.81,0,0,0,"",72.69,58.79,72.69,58.79,58.37,0.77,1014.13,7.5,12.52,226,0.6,5,6.21,61.11,72.69,61.11,72.69
"2009-08-15","Everton","Arsenal","A",0,3,"A",8,15,5,9,11,13,4,9,0,0,0,0,"Goodison Park","Partly cloudy throughout the day.","partly-cloudy-day",0.81,5e-04,0.0051,0.69,"rain",70.77,55.93,70.96,55.93,59.51,0.81,1009.12,7.76,15.53,225,0.46,5,6,61.57,70.77,61.57,70.96
"2009-08-15","Portsmouth","Fulham","A",0,1,"A",16,9,4,3,11,18,6,4,3,2,0,0,"Fratton Park","Mostly cloudy until evening.","partly-cloudy-day",0.81,0,0,0,"",67.9,57.37,67.97,57.37,59.17,0.84,1014.94,7.85,15.35,238,0.67,4,6.22,61.81,67.9,61.81,67.97
"2009-08-15","Stoke","Burnley","H",2,0,"H",12,9,5,5,15,10,3,6,2,2,0,0,"bet365 Stadium","Partly cloudy throughout the day.","partly-cloudy-day",0.81,0,0,0,"",72.06,54.78,72.06,54.78,58.09,0.77,1010.07,8.24,21.23,230,0.57,5,6.2,61.58,72.06,61.58,72.06
"2009-08-15","Wolves","West Ham","A",0,1,"A",19,16,11,13,9,5,8,6,0,0,0,0,"Molineux Stadium","Mostly cloudy throughout the day.","partly-cloudy-day",0.81,0,0,0,"",72.77,56.5,72.77,56.5,58.99,0.8,1011.24,6.87,27.04,229,0.65,4,6.22,61.9,72.77,62.15,72.77
"2009-08-16","Man United","Birmingham","H",1,0,"H",26,6,17,4,13,7,13,2,1,1,0,0,"Old Trafford","Mostly cloudy throughout the day.","partly-cloudy-day",0.85,0,0,0,"",66.06,57.9,66.06,57.9,53.55,0.76,1013.17,5.11,14.28,241,0.5,5,6.22,56.71,66.06,56.71,66.06
"2009-08-16","Tottenham","Liverpool","H",1,0,"H",17,6,11,3,14,16,6,5,3,3,0,0,"White Hart Lane","Partly cloudy throughout the day.","partly-cloudy-day",0.85,0,0,0,"",76.51,56.81,76.51,56.81,56.37,0.71,1015.31,6.26,9.98,252,0.41,5,6.21,58.66,76.51,58.66,76.51
"2009-08-18","Sunderland","Chelsea","A",1,0,"H",4,20,3,9,14,10,1,14,2,2,0,0,"Stadium of Light","Partly cloudy until evening.","partly-cloudy-day",0.93,9e-04,0.0112,0.72,"rain",66.94,60.8,66.94,60.8,53.97,0.77,1015.22,3.47,11.72,200,0.32,5,6.07,53.92,66.94,53.92,66.94
"2009-08-18","Wigan","Wolves","A",0,1,"A",18,9,5,3,8,21,4,4,0,3,0,0,"DW Stadium","Partly cloudy until evening.","partly-cloudy-day",0.93,0,0,0,"",70.67,61.28,70.67,61.28,54.57,0.75,1016.12,3.71,9.55,182,0.48,4,6.22,54.31,70.67,54.31,70.67
"2009-08-19","Birmingham","Portsmouth","H",0,0,"D",9,9,5,4,11,20,4,5,0,5,0,0,"St Andrew's","Partly cloudy until afternoon.","partly-cloudy-day",0.97,0,0,0,"",77.58,61.54,77.58,61.74,57.93,0.75,1014.47,6.11,15.57,197,0.46,5,6.19,57.39,77.58,57.39,77.58
"2009-08-19","Burnley","Man United","H",1,0,"H",8,18,2,9,8,12,1,12,2,1,0,0,"Turf Moor","Partly cloudy throughout the day.","partly-cloudy-day",0.97,0,0,0,"",74.52,64.32,74.55,64.47,58.07,0.73,1013.04,6.18,16.99,189,0.4,5,6.2,60.52,74.52,60.52,74.55
"2009-08-19","Hull","Tottenham","A",1,3,"A",9,18,7,12,23,13,6,5,3,2,0,0,"KCOM Stadium","Partly cloudy until afternoon.","partly-cloudy-day",0.97,0,0,0,"",80.91,62.28,81.4,62.69,58.23,0.71,1013.32,9.83,19.51,202,0.15,6,5.92,57.88,80.91,57.88,81.4
"2009-08-19","Liverpool","Stoke","H",2,0,"H",18,6,13,3,10,9,11,5,0,1,0,0,"Anfield","Partly cloudy throughout the day.","partly-cloudy-day",0.97,0,0,0,"",74.17,65.28,74.32,65.55,59.58,0.75,1011.7,6.63,12.11,163,0.38,5,6.21,61.06,74.17,61.06,74.32
"2009-08-22","Arsenal","Portsmouth","H",2,1,"H",19,9,16,4,9,10,8,4,1,0,0,0,"Emirates Stadium","Partly cloudy until evening.","partly-cloudy-day",0.08,0,0,0,"",71.25,60.17,71.25,60.17,50.72,0.68,1022.91,3.57,8.11,212,0.22,5,6.2,52.13,71.25,52.13,71.25
"2009-08-22","Birmingham","Stoke","D",0,0,"D",8,13,6,3,8,13,3,3,0,3,0,0,"St Andrew's","Partly cloudy until evening.","partly-cloudy-day",0.08,0,0,0,"",70.23,57.64,70.23,57.64,50.93,0.75,1021.48,3.38,8.25,207,0.32,5,6.22,47.81,70.23,47.81,70.23
"2009-08-22","Hull","Bolton","H",0,0,"D",12,20,5,10,19,19,4,12,3,2,0,0,"KCOM Stadium","Partly cloudy until evening.","partly-cloudy-day",0.08,0,0,0,"",71.54,58.57,71.54,58.57,48.03,0.66,1020.09,5.99,14.5,236,0.19,5,6.22,50.04,71.54,50.04,71.54
"2009-08-22","Man City","Wolves","H",1,0,"H",16,10,11,2,7,11,5,6,0,1,0,0,"City of Manchester Stadium","Partly cloudy in the afternoon.","partly-cloudy-day",0.08,0,0,0,"",69.52,59.43,69.52,59.43,49.18,0.68,1020.43,2.9,8.83,209,0.24,5,6.22,50.99,69.52,50.99,69.52
"2009-08-22","Sunderland","Blackburn","H",1,1,"D",8,18,5,5,12,14,0,10,2,1,0,0,"Stadium of Light","Partly cloudy until afternoon.","partly-cloudy-day",0.08,1e-04,0.0021,0.21,"rain",67.38,57.94,67.38,57.94,47.11,0.66,1017.88,5.5,13.83,241,0.31,5,6.64,52.31,67.38,52.31,67.38
"2009-08-22","Wigan","Man United","A",0,0,"D",16,16,7,13,11,8,3,5,2,2,0,0,"DW Stadium","Partly cloudy until afternoon.","partly-cloudy-day",0.08,0,0,0,"",70.22,59.84,70.22,59.84,50.13,0.69,1020.02,2.45,8.16,214,0.28,5,6.22,51.41,70.22,51.41,70.22
"2009-08-23","Burnley","Everton","H",1,0,"H",8,17,4,11,11,13,3,7,1,0,0,0,"Turf Moor","Light rain starting in the evening.","rain",0.11,0.0025,0.0399,1,"rain",69.36,57.87,69.36,57.87,56.65,0.78,1012.63,5.88,14.32,176,0.5,5,5.87,59.15,69.36,59.15,69.36
"2009-08-23","Fulham","Chelsea","A",0,1,"A",4,12,1,4,11,10,4,7,0,0,0,0,"Craven Cottage","Partly cloudy in the morning.","partly-cloudy-night",0.11,0,0,0,"",79.44,56.14,79.44,56.14,52.98,0.6,1015.9,4.86,11.06,178,0.26,6,6.21,59.52,79.44,59.52,79.44
"2009-08-23","West Ham","Tottenham","A",0,0,"D",17,17,8,10,13,11,4,8,2,1,0,0,"Upton Park","Partly cloudy starting in the afternoon, continuing until evening.","partly-cloudy-day",0.11,0,0,0,"",80.65,57.95,80.65,57.95,52.05,0.55,1015.93,5.6,12.51,179,0.24,5,6.21,60.8,80.65,60.8,80.65
